3-4-0-1-0,,,,,,
,2720,30.38546,6-9-0-0-0,NH4 * 1;Na * 2,1144.579,3
,2720,30.38546,5-6-1-2-0,Na * 1;H * 2,1144.579,3
,2720,30.38546,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.253,3
,2720,30.38546,5-6-1-2-0,H * 3,1137.253,3
,2737,30.4948,6-9-0-0-0,NH4 * 1;Na * 2,1144.584,3
,2737,30.4948,5-6-1-2-0,Na * 1;H * 2,1144.584,3
,2754,30.59713,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.254,3
,2754,30.59713,5-6-1-2-0,H * 3,1137.254,3
,2771,30.70331,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.248,3
,2771,30.70331,5-6-1-2-0,H * 3,1137.248,3
,2788,30.8168,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.252,3
,2788,30.8168,5-6-1-2-0,H * 3,1137.252,3
,2805,30.92897,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.251,3
,2805,30.92897,5-6-1-2-0,H * 3,1137.251,3
,2822,31.04196,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.251,3
,2822,31.04196,5-6-1-2-0,H * 3,1137.251,3
,2839,31.15229,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.254,3
,2839,31.15229,5-6-1-2-0,H * 3,1137.254,3
,2856,31.25279,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.251,3
,2856,31.25279,5-6-1-2-0,H * 3,1137.251,3
,2873,31.35913,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.253,3
,2873,31.35913,5-6-1-2-0,H * 3,1137.253,3
,2890,31.47196,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.251,3
,2890,31.47196,5-6-1-2-0,H * 3,1137.251,3
,2907,31.58246,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.252,3
,2907,31.58246,5-6-1-2-0,H * 3,1137.252,3
,2924,31.7043,6-9-0-0-0,NH4 * 1;Na * 2,1144.583,3
,2924,31.7043,5-6-1-2-0,Na * 1;H * 2,1144.583,3
,2924,31.7043,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.251,3
,2924,31.7043,5-6-1-2-0,H * 3,1137.251,3
,2941,31.82129,6-9-0-0-0,NH4 * 1;Na * 2,1144.581,3
,2941,31.82129,5-6-1-2-0,Na * 1;H * 2,1144.581,3
,2941,31.82129,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.251,3
,2941,31.82129,5-6-1-2-0,H * 3,1137.251,3
,2941,31.82129,6-9-0-0-0,NH4 * 1;Na * 1;H * 2,853.1913,4
,2941,31.82129,5-6-1-2-0,H * 4,853.1913,4
,2958,31.94296,6-9-0-0-0,NH4 * 1;Na * 2,1144.58,3
,2958,31.94296,5-6-1-2-0,Na * 1;H * 2,1144.58,3
,2958,31.94296,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.252,3
,2958,31.94296,5-6-1-2-0,H * 3,1137.252,3
,2958,31.94296,6-9-0-0-0,NH4 * 1;Na * 1;H * 2,853.1921,4
,2958,31.94296,5-6-1-2-0,H * 4,853.1921,4
,2975,32.0578,6-9-0-0-0,NH4 * 1;Na * 2,1144.579,3
,2975,32.0578,5-6-1-2-0,Na * 1;H * 2,1144.579,3
,2975,32.0578,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.251,3
,2975,32.0578,5-6-1-2-0,H * 3,1137.251,3
,2975,32.0578,6-9-0-0-0,NH4 * 1;Na * 1;H * 2,853.1891,4
,2975,32.0578,5-6-1-2-0,H * 4,853.1891,4
,2992,32.17379,6-9-0-0-0,NH4 * 1;Na * 2,1144.584,3
,2992,32.17379,5-6-1-2-0,Na * 1;H * 2,1144.584,3
,2992,32.17379,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.251,3
,2992,32.17379,5-6-1-2-0,H * 3,1137.251,3
,3111,33.02146,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.252,3
,3111,33.02146,5-6-1-2-0,H * 3,1137.252,3
,3145,33.30596,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.25,3
,3145,33.30596,5-6-1-2-0,H * 3,1137.25,3
,3247,34.31896,6-9-0-0-0,NH4 * 2;Na * 1,1142.929,3
,3247,34.31896,5-6-1-2-0,NH4 * 1;H * 2,1142.929,3
,3247,34.31896,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.251,3
,3247,34.31896,5-6-1-2-0,H * 3,1137.251,3
,3264,34.46263,6-9-0-0-0,NH4 * 2;Na * 1,1142.927,3
,3264,34.46263,5-6-1-2-0,NH4 * 1;H * 2,1142.927,3
,3264,34.46263,5-7-2-1-0,H * 3,1142.927,3
,3264,34.46263,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.254,3
,3264,34.46263,5-6-1-2-0,H * 3,1137.254,3
5-6-0-3-0,,,,,,
,2669,30.05813,5-6-0-3-0,NH4 * 1;Na * 1;H * 1,1212.617,3
,2669,30.05813,5-7-1-2-0,Na * 1;H * 2,1212.617,3
,2686,30.16729,5-6-0-3-0,NH4 * 1;Na * 1;H * 1,1212.614,3
,2686,30.16729,5-7-1-2-0,Na * 1;H * 2,1212.614,3
,2822,31.04196,5-6-0-3-0,NH4 * 1;Na * 1;H * 1,1212.616,3
,2822,31.04196,5-7-1-2-0,Na * 1;H * 2,1212.616,3
6-8-0-0-0,,,,,,
,2703,30.27496,6-8-0-0-0,NH4 * 1;Na * 1;H * 1,1069.218,3
,2703,30.27496,5-5-1-2-0,H * 3,1069.218,3
,2720,30.38546,6-8-0-0-0,NH4 * 1;Na * 1;H * 1,1069.222,3
,2720,30.38546,5-5-1-2-0,H * 3,1069.222,3
,2737,30.4948,6-8-0-0-0,NH4 * 1;Na * 1;H * 1,1069.219,3
,2737,30.4948,5-5-1-2-0,H * 3,1069.219,3
,2754,30.59713,6-8-0-0-0,NH4 * 1;Na * 1;H * 1,1069.219,3
,2754,30.59713,5-5-1-2-0,H * 3,1069.219,3
,2771,30.70331,6-8-0-0-0,NH4 * 1;Na * 1;H * 1,1069.221,3
,2771,30.70331,5-5-1-2-0,H * 3,1069.221,3
,2788,30.8168,6-8-0-0-0,NH4 * 1;Na * 1;H * 1,1069.221,3
,2788,30.8168,5-5-1-2-0,H * 3,1069.221,3
,2805,30.92897,6-8-0-0-0,NH4 * 1;Na * 2,1076.548,3
,2805,30.92897,5-5-1-2-0,Na * 1;H * 2,1076.548,3
,2805,30.92897,6-8-0-0-0,NH4 * 1;Na * 1;H * 1,1069.22,3
,2805,30.92897,5-5-1-2-0,H * 3,1069.22,3
,2805,30.92897,6-8-0-0-0,NH4 * 1;Na * 1;H * 2,802.1658,4
,2805,30.92897,5-5-1-2-0,H * 4,802.1658,4
,2822,31.04196,6-8-0-0-0,NH4 * 1;Na * 2,1076.549,3
,2822,31.04196,5-5-1-2-0,Na * 1;H * 2,1076.549,3
,2822,31.04196,6-8-0-0-0,NH4 * 1;Na * 1;H * 1,1069.22,3
,2822,31.04196,5-5-1-2-0,H * 3,1069.22,3
,2839,31.15229,6-8-0-0-0,NH4 * 1;Na * 2,1076.55,3
,2839,31.15229,5-5-1-2-0,Na * 1;H * 2,1076.55,3
,2839,31.15229,6-8-0-0-0,NH4 * 1;Na * 1;H * 1,1069.22,3
,2839,31.15229,5-5-1-2-0,H * 3,1069.22,3
,2856,31.25279,6-8-0-0-0,NH4 * 2;Na * 1,1074.89,3
,2856,31.25279,5-5-1-2-0,NH4 * 1;H * 2,1074.89,3
,2856,31.25279,5-6-2-1-0,H * 3,1074.89,3
,2856,31.25279,6-8-0-0-0,NH4 * 1;Na * 2,1076.548,3
,2856,31.25279,5-5-1-2-0,Na * 1;H * 2,1076.548,3
,2856,31.25279,6-8-0-0-0,NH4 * 1;Na * 1;H * 1,1069.22,3
,2856,31.25279,5-5-1-2-0,H * 3,1069.22,3
,2873,31.35913,6-8-0-0-0,NH4 * 1;Na * 2,1076.548,3
,2873,31.35913,5-5-1-2-0,Na * 1;H * 2,1076.548,3
,2873,31.35913,6-8-0-0-0,NH4 * 1;Na * 1;H * 1,1069.22,3
,2873,31.35913,5-5-1-2-0,H * 3,1069.22,3
,2890,31.47196,6-8-0-0-0,NH4 * 2;Na * 1,1074.892,3
,2890,31.47196,5-5-1-2-0,NH4 * 1;H * 2,1074.892,3
,2890,31.47196,5-6-2-1-0,H * 3,1074.892,3
,2890,31.47196,6-8-0-0-0,NH4 * 1;Na * 2,1076.548,3
,2890,31.47196,5-5-1-2-0,Na * 1;H * 2,1076.548,3
,2890,31.47196,6-8-0-0-0,NH4 * 1;Na * 1;H * 1,1069.22,3
,2890,31.47196,5-5-1-2-0,H * 3,1069.22,3
,2907,31.58246,6-8-0-0-0,NH4 * 2;Na * 1,1074.892,3
,2907,31.58246,5-5-1-2-0,NH4 * 1;H * 2,1074.892,3
,2907,31.58246,5-6-2-1-0,H * 3,1074.892,3
,2907,31.58246,6-8-0-0-0,NH4 * 1;Na * 2,1076.548,3
,2907,31.58246,5-5-1-2-0,Na * 1;H * 2,1076.548,3
,2907,31.58246,6-8-0-0-0,NH4 * 1;Na * 1;H * 1,1069.22,3
,2907,31.58246,5-5-1-2-0,H * 3,1069.22,3
,2924,31.7043,6-8-0-0-0,NH4 * 2;Na * 1,1074.891,3
,2924,31.7043,5-5-1-2-0,NH4 * 1;H * 2,1074.891,3
,2924,31.7043,5-6-2-1-0,H * 3,1074.891,3
,2924,31.7043,6-8-0-0-0,NH4 * 1;Na * 2,1076.549,3
,2924,31.7043,5-5-1-2-0,Na * 1;H * 2,1076.549,3
,2924,31.7043,6-8-0-0-0,NH4 * 1;Na * 1;H * 1,1069.22,3
,2924,31.7043,5-5-1-2-0,H * 3,1069.22,3
,2941,31.82129,6-8-0-0-0,NH4 * 2;Na * 1,1074.891,3
,2941,31.82129,5-5-1-2-0,NH4 * 1;H * 2,1074.891,3
,2941,31.82129,5-6-2-1-0,H * 3,1074.891,3
,2941,31.82129,6-8-0-0-0,NH4 * 1;Na * 2,1076.549,3
,2941,31.82129,5-5-1-2-0,Na * 1;H * 2,1076.549,3
,2941,31.82129,6-8-0-0-0,NH4 * 1;Na * 1;H * 1,1069.22,3
,2941,31.82129,5-5-1-2-0,H * 3,1069.22,3
,2958,31.94296,6-8-0-0-0,NH4 * 2;Na * 1,1074.889,3
,2958,31.94296,5-5-1-2-0,NH4 * 1;H * 2,1074.889,3
,2958,31.94296,5-6-2-1-0,H * 3,1074.889,3
,2958,31.94296,6-8-0-0-0,NH4 * 1;Na * 2,1076.55,3
,2958,31.94296,5-5-1-2-0,Na * 1;H * 2,1076.55,3
